feature,coefficient
error_count_24h,2.4210242946506937
voltage_mean_24h,1.496842572622527
vibration_mean_24h,1.3032734951524907
pressure_mean_24h,1.2113720111771646
age_category_new,0.9422717144938396
age,0.5454045208928249
days_since_last_failure,0.457784793969354
age_category_mid_life,0.378574117046115
vibration_mean_3h,0.3011570598619942
days_since_last_maintenance,0.2704072431123872
rotation_mean_3h,0.20934094350287796
voltage_min_3h,0.1510238843526094
vibration_std_3h,0.1320731692073081
pressure_min_3h,0.10062531183509932
rotation_std_12h,0.09999749791168608
pressure_std_3h,0.09146591430468734
distinct_failure_types,0.08824457638840945
pressure_std_12h,0.06874979495583262
voltage_std_12h,0.06373538093126419
voltage_std_3h,0.06233578339479256
vibration_std_12h,0.06228944177653951
pressure_mean_3h,0.059759075108590395
voltage_mean_12h,0.051016860786757635
rotation_std_3h,0.02653516035725977
rotation_mean_12h,0.02024932784353947
total_prior_failures,0.015286892638334937
component_diversity,0.0
vibration_mean_12h,-0.027949637516141497
voltage_max_3h,-0.04484805095032373
pressure_max_3h,-0.04868375615554339
voltage_mean_3h,-0.058696379302655415
vibration_min_3h,-0.06700619052344518
pressure_mean_12h,-0.1287857590919051
rotation_max_3h,-0.14376924798720359
rotation_min_3h,-0.17660447293705892
voltage_std_24h,-0.17714894825556415
rotation_std_24h,-0.20024743076016382
vibration_max_3h,-0.2220161932759219
pressure_std_24h,-0.333141610018446
model_model2,-0.3866201539624142
rotation_mean_24h,-0.4850808422938224
vibration_std_24h,-0.48675856863836253
model_model3,-0.7849653797110434
hours_since_last_error,-0.8689784326629929
distinct_error_types,-1.260060035212876
model_model4,-1.6395112361164932
